

1港澳新闻,#genre#
浙江卫视 6M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225585/index.m3u8
深圳卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226150/index.m3u8
湖北卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225769/index.m3u8
湖南卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225767/index.m3u8
贵州卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225777/index.m3u8
辽宁卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225789/index.m3u8
四川卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226327/index.m3u8
海南卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226325/index.m3u8
黑龙江卫视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226148/index.m3u8
Hot亚洲影院 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225844/index.m3u8
Hot少儿动漫 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225946/index.m3u8
Hot探索纪录 5M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225836/index.m3u8
Hot欧美影院 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225909/index.m3u8
Hot漫游世界 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221225913/index.m3u8
Hot精品剧场 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226017/index.m3u8
Hot精彩影视 8M1080,http://39.134.144.6:8089/PLTV/88888888/224/3221226015/index.m3u8






4江苏移动,#genre#
CCTV1 3M1080,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV1 4M1080,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV1 4M1080,http://183.207.248.107/ott.js.chinamobile.com/PLTV/3/224/3221227494/index.m3u8
CCTV1 4M1080,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV1 4M1080HEVC,http://183.207.249.205/ott.js.chinamobile.com/PLTV/3/224/3221227644/index.m3u8
